,text_procesado
0,fecha inicia proceso admision
1,arranca proceso admision
2,iniciar proceso admision
3,empieza proceso admision
4,comenzar proceso admision
5,inicio proceso admision
6,inicio proceso admision
7,empezar proceso admision
8,inicia formalmente proceso admision
9,fecha iniciar proceso admision
10,registrarme
11,fecha inscribirme
12,limite inscribirme
13,vence plazo inscripcion
14,cierra periodo inscripciones
15,apuntarme
16,termina plazo inscripcion
17,fecha limite inscribirse
18,registrar
19,registro
20,hora inscribirme
21,horario cierre inscripciones
22,hora inscribir
23,termina plazo inscribirse
24,horario debo seguir inscripcion
25,ultima hora inscribirme
26,dejan aceptar inscripciones
27,hora finaliza periodo inscripcion
28,inscribirme
29,admiten inscripciones
30,comprar pin
31,adquirir pin
32,horario atencion venta pin
33,restriccion comprar pin
34,pines adquirir
35,metodos pago aceptados comprar pin
36,necesario presentar algun documento comprar pin
37,estara disponible venta pin
38,comprar pin
39,compra pin forma online
40,adquirir derechos inscripcion
41,comprar derechos inscripcion
42,hora comprar derechos inscripcion
43,adquirir derechos inscripcion
44,plazo comprar derechos inscripcion
45,vencen derechos inscripcion
46,restriccion adquirir derechos inscripcion
47,opcion comprar derechos inscripcion
48,abrira venta derechos inscripcion
49,comprar derechos inscripcion
50,fecha pruebas especificas artes plasticas
51,periodo llevan cabo pruebas especificas artes plasticas
52,realizan pruebas especificas artes plasticas
53,programadas pruebas especificas artes plasticas
54,hora llevan cabo pruebas especificas artes plasticas
55,duran pruebas especificas artes plasticas
56,realizan pruebas especificas artes plasticas
57,obligado presentar pruebas especificas artes plasticas
58,fecha limite inscribirme pruebas especificas artes plasticas
59,encontrar informacion pruebas especificas artes plasticas
60,hora daran respuesta admision
61,sabre admitido
62,recibire respuesta aceptacion
63,recibire noticias admision
64,fecha comenzare admitido
65,tendre conocimiento aceptacion programa
66,sabre seleccionado
67,hora recibo informacion admision
68,obtendre noticias ingreso
69,recibire respuesta postulacion
70,hora estaran disponibles resultados
71,podremos consultar resultados
72,seran publicados resultados
73,seran anunciados resultados
74,estaran disponibles resultados publico
75,hora estaran liberados resultados
76,publicaran resultados
77,podremos acceder resultados
78,seran revelados resultados
79,hora estaran visibles resultados
80,realizara examen ingreso
81,fecha prueba admision
82,llevara cabo evaluacion ingreso
83,fecha programo examen admision
84,tendran pruebas admision
85,hora examen ingreso
86,proporcionar fecha exacta examen admision
87,realizara evaluacion admision
88,fecha establecida examen ingreso
89,llevara cabo prueba admision
90,realizara examen icfes
91,fecha examen icfes
92,llevara cabo examen icfes
93,hora examen icfes
94,dura examen icfes
95,realizara examen icfes
96,sede examen icfes
97,preguntas examen icfes
98,requisitos presentar examen icfes
99,resultados examen icfes
100,inscripciones plazo
101,inscripciones plazo establecido
102,admiten inscripciones fecha
103,posibilidad registrar fecha limite
104,permite inscribirse establecido
105,valido inscribirse periodo inscripcion
106,aceptan solicitudes inscripcion tardias
107,opcion inscribirse indicado
108,permiten inscripciones plazo establecido
109,consideran validas inscripciones fecha limite
110,plazo limite cambios inscripcion
111,vence periodo modificaciones inscripcion
112,modificaciones inscripcion
113,fecha tope cambios inscripcion
114,limite modificaciones inscripcion
115,solicitar cambios inscripcion
116,plazo maximo modificaciones inscripcion
117,cierra periodo cambios inscripcion
118,fecha cambios inscripcion
119,indicarme modificaciones inscripcion
120,realizan pruebas especificas teatro
121,pruebas especificas danza
122,llevan cabo pruebas especificas artes plasticas
123,pruebas especificas literatura
124,realizan pruebas especificas cine
125,pruebas especificas diseno grafico
126,llevan cabo pruebas especificas arquitectura
127,pruebas especificas fotografia
128,realizan pruebas especificas escultura
129,pruebas especificas actuacion
130,fecha abriran inscripciones proceso
131,iniciaran inscripciones proceso
132,comenzaran inscripciones proceso
133,esperan inscripciones proceso
134,periodo llevaran cabo inscripciones proceso
135,fecha limite inscribirse proceso
136,finalizaran inscripciones proceso
137,estara abierto periodo inscripciones proceso
138,duracion periodo inscripciones proceso
139,cerraran inscripciones proceso
140,hora cierran inscripciones universidad
141,proxima fecha inscripciones universidad
142,resultados icfes inscribirme universidad
143,opciones resultados icfes salen cierre inscripciones universidad
144,asegurarme perder oportunidad inscribirme universidad resultados icfes salen
145,pasa inscribo universidad fecha limite
146,fechas inscripcion especiales cuyos resultados icfes salen cierre inscripciones
147,algun requisito adicional inscribirme universidad obtener resultados icfes
148,debo resultados icfes salen inscripciones quiero estudiar universidad
149,universidad ofrece opcion inscripcion tardia casos
150,hora salen resultados admision
151,tardan publicar resultados admision
152,encontrar resultados admision
153,admitido
154,fecha limite resultados admision
155,informacion necesito consultar resultados admision
156,recibir notificaciones resultados admision
157,solicitar revision resultados admision
158,obtener ayuda problemas resultados admision
159,resultados admision publican ano
160,inscribirme semestre
161,fecha limite inscripciones semestre
162,comienza periodo inscripciones semestre
163,debo inscribirme semestre
164,fecha apertura inscripciones semestre
165,inscripciones semestre
166,abren inscripciones periodo academico
167,debo solicitar cupo semestre
168,empiezan inscripciones semestre
169,cierran inscripciones periodo academico
170,proceso admision calificaciones examen icfes
171,tendran puntajes icfes proceso admision
172,necesario presentar examen icfes proceso admision
173,resultados icfes seran tomados consideracion proceso admision
174,puntaje obtenido icfes determinante proceso admision
175,solicitara puntaje icfes requisito proceso admision
176,necesario calificacion minima icfes participar proceso admision
177,resultados icfes tendran peso importante proceso admision
178,habra variacion proceso admision resultados icfes
179,utilizaran resultados icfes criterio seleccion proceso admision
180,acceder calendario academico proceso admision
181,encuentro calendario academico proceso admision
182,obtener calendario academico proceso admision
183,consultar calendario academico proceso admision
184,obtener informacion calendario academico proceso admision
185,encontrar cronograma proceso admision
186,consultar cronograma proceso admision
187,encuentro cronograma proceso admision
188,obtener cronograma proceso admision
189,consultar informacion cronograma proceso admision
190,sabremos universidad tomara icfes examen admision proceso admision
191,espera universidad tome decision icfes examen admision proceso admision
192,conoceremos postura universidad acerca icfes examen admision proxima admision
193,tendremos esperar universidad utilizara icfes examen admision proceso admision
194,fecha aproximada espera universidad informe utilizacion icfes examen admision proceso admision
195,tomara decision icfes examen admision proceso admision
196,dara forma admision universidad utilizara proceso admision
197,daran requisitos admision proceso admision
198,esperamos claridad criterios admision utilizara universidad proceso admision
199,podremos obtener informacion criterios admision utilizaran proceso admision
200,criterio admision periodo academico
201,requisitos tomaran admision periodo academico
202,indicarme proceso admision periodo academico
203,daran criterios admision periodo academico
204,habra cambios criterio admision periodo academico
205,plazas estaran disponibles periodo academico asignaran
206,elementos tomaran consideracion establecer criterio admision periodo academico
207,fecha publicara criterio admision periodo academico
208,informacion adicional necesita completar solicitud admision periodo academico
209,caracteristica particular buscara candidatos proceso admision periodo academico
210,encontrar programa convocatoria actual
211,consultar horario convocatoria actual
212,encontrar lista fechas convocatoria actual
213,calendario convocatoria curso
214,consultar fechas convocatoria actual
215,encontrar itinerario convocatoria actual
216,programa horarios convocatoria actual
217,encontrar cronograma completo convocatoria curso
218,consultar fechas horarios etapas convocatoria actual
219,citas plazos convocatoria actual
220,metodo utilizado proceso admision
221,tipo evaluacion realiza proceso admision
222,criterios considerados admision
223,aspectos evaluados proceso admision
224,procedimiento aplicar proceso admision
225,proceso admision incluye entrevista personal
226,requiere presentar algun tipo documentacion proceso admision
227,porcentaje admision mantenido ultimos anos
228,requisitos especificos carreras proceso admision
229,duracion estimada proceso admision
230,encontrar informacion proceso admision
231,acceder informacion proceso admision
232,fuente informacion proceso admision
233,obtener detalles acerca proceso admision
234,sitio web publicados datos proceso admision
235,ubicacion exacta informacion referente proceso admision
236,obtener requisitos proceso admision
237,confiable obtener informacion proceso admision
238,encontrar respuestas preguntas proceso admision
239,canal comunicacion obtener informacion proceso admision
240,proceso inscribirme programa academico
241,pasos debo seguir registrarme programa estudios
242,requisitos matricularme plan estudios
243,documentos necesito presentar inscribirme programa curricular
244,plazo limite inscripcion programa academico
245,obtener formulario inscripcion programa estudios
246,tarda proceso inscripcion plan estudios
247,inscribirme programa curricular
248,algun costo adicional inscribirme programa academico
249,ayudarme problemas proceso inscripcion programa estudios
250,encontrar puntajes procesos anteriores
251,forma consultar puntajes procesos anteriores
252,acceder puntajes procesos anteriores
